Date,Timestamp,,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2020-08-11,19:26,EDT),20,Cycling,Beginner,20 min Beginner Ride,2019-12-07 10:00 (EDT),94,78,34%,81,22.93,7.64,323,162.59,,
2020-08-13,20:23,EDT),20,Cycling,Beginner,20 min Beginner Ride,2019-11-13 16:16 (EDT),77,70,35%,74,22.08,6.97,242,144.35,,
2020-08-13,20:45,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-06-08 10:00 (EDT),19,62,29%,86,21.05,1.75,71,149.99,,
2020-08-13,20:52,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-30 10:00 (EDT),,,,,,,60,136.52,,
2020-08-14,18:37,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-07-31 09:00 (EDT),21,71,36%,74,22.32,1.87,62,139.09,,
2020-08-14,18:44,EDT),20,Cycling,Low Impact,20 min Low Impact Ride,2019-11-21 05:22 (EDT),98,82,36%,77,23.82,7.93,340,167.97,,
2020-08-14,19:07,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-11 04:45 (EDT),,,,,,,67,144.98,,
2020-08-18,19:22,EDT),30,Cycling,Music,30 min Pop Ride,2019-11-27 12:20 (EDT),146,83,39%,72,23.63,11.41,436,164.26,,
2020-08-18,19:54,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-08-16 10:45 (EDT),19,64,34%,72,21.03,1.74,69,148.82,,
2020-08-18,20:01,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-23 04:25 (EDT),,,,,,,68,146.98,,
2020-08-20,19:57,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-07-20 09:00 (EDT),19,64,30%,83,21.16,1.75,47,119.95,,
2020-08-20,20:05,EDT),20,Cycling,Beginner,20 min Beginner Ride,2019-12-19 16:00 (EDT),82,79,39%,67,23.4,7.11,239,150.43,,
2020-08-20,20:27,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-08-12 09:00 (EDT),18,59,29%,86,20.7,1.72,56,130.7,,
2020-08-20,20:33,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-08-14 09:00 (EDT),,,,,,,37,134.39,,
2020-08-26,19:54,EDT),15,Cycling,Music,15 min Pop Ride,2019-12-20 13:00 (EDT),75,85,39%,74,23.48,5.75,224,157.07,,
2020-08-28,21:24,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-08-25 07:30 (EDT),23,78,34%,83,23.38,1.95,53,127.42,,
2020-08-28,21:32,EDT),20,Cycling,Beginner,20 min Beginner Ride,2020-06-18 16:00 (EDT),105,88,36%,82,24.4,8.13,265,159.17,,
2020-08-28,21:54,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-22 10:00 (EDT),,,,,,,59,134.77,,
2020-09-03,19:53,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-08-24 09:00 (EDT),22,74,33%,79,22.1,1.83,50,123.78,,
2020-09-03,20:00,EDT),20,Cycling,Beginner,20 min Beginner Ride,2020-08-17 01:30 (EDT),69,84,36%,77,23.95,6,215,160.27,,
2020-09-03,20:22,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-08-23 10:35 (EDT),,,,,,,61,137.56,,
2020-09-06,12:45,EDT),20,Cycling,Music,20 min 90s Ride,2020-09-06 12:35 (EDT),97,81,37%,75,23.24,7.74,306,164.03,,
2020-09-06,13:08,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-17 09:00 (EDT),,,,,,,66,143.45,,
2020-09-13,16:41,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-07-13 10:00 (EDT),150,83,36%,79,23.72,11.84,440,153.15,,
2020-09-13,17:14,EDT),10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2020-09-05 07:05 (EDT),38,64,35%,71,21.44,3.56,145,152.47,,
2020-09-13,17:25,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-23 04:25 (EDT),,,,,,,66,143.92,,
2020-09-14,19:30,EDT),30,Cycling,Intervals,30 min HIIT Ride,2020-09-14 19:19 (EDT),160,98,41%,73,25.46,11.57,417,164.42,,
2020-09-14,20:04,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-14 09:00 (EDT),,,,,,,64,140.91,,
2020-09-26,14:48,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-09-24 02:00 (EDT),157,87,38%,75,24.38,12.18,478,161.15,,
2020-09-26,15:21,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-19 10:45 (EDT),,,,,,,65,143.1,,
2020-09-29,18:19,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2019-09-13 13:40 (EDT),17,57,26%,95,20.29,1.69,49,122.31,,
2020-09-29,18:26,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-08-30 13:00 (EDT),137,76,35%,76,22.82,11.41,384,141.15,,
2020-09-29,18:59,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-21 17:00 (EDT),,,,,,,56,130.98,,
2020-10-06,20:38,EDT),5,Cycling,Warm Up/Cool Down,5 min Prince Warm Up Ride,2020-08-12 19:20 (EDT),22,74,34%,78,21.69,1.82,44,115.36,,
2020-10-06,20:57,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-09-14 00:30 (EDT),174,97,39%,76,24.93,12.46,450,155.19,,
2020-10-06,21:33,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-01 10:25 (EDT),,,,,,,73,153.56,,
2020-10-07,18:22,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-10-02 09:00 (EDT),20,66,30%,83,21.65,1.8,52,126,,
2020-10-07,18:32,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-07-08 09:00 (EDT),186,103,41%,72,25.88,12.92,464,158.24,,
2020-10-07,19:04,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-09-19 10:35 (EDT),17,58,32%,75,20.12,1.67,72,151.15,,
2020-10-07,19:11,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-16 17:31 (EDT),,,,,,,73,152.71,,
2020-10-10,15:07,EDT),20,Cycling,Beginner,20 min Beginner Ride,2020-10-08 17:00 (EDT),115,96,40%,74,25.51,8.5,262,143.06,,
2020-10-10,15:29,EDT),10,Strength,Arms & Light Weights,10 min Arms Toning,2020-09-11 20:15 (EDT),,,,,,,172,169.24,,
2020-10-10,15:42,EDT),10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2020-09-28 06:32 (EDT),53,88,40%,75,24.57,4.09,164,164.39,,
2020-10-10,15:54,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-17 10:00 (EDT),,,,,,,68,147.03,,
2020-10-11,15:45,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2019-12-30 04:02 (EDT),193,107,41%,74,26.38,13.18,441,153.22,,
2020-10-11,16:19,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-21 09:00 (EDT),,,,,,,59,135.01,,
2020-10-13,20:07,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-10-12 08:30 (EDT),31,104,40%,75,25.64,2.12,64,140.97,,
2020-10-13,20:13,EDT),20,Cycling,Music,20 min New Tracks Ride,2020-10-13 17:00 (EDT),133,111,39%,82,26.89,8.96,324,162.99,,
2020-10-13,20:35,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-10-12 08:30 (EDT),16,52,28%,86,19.42,1.61,63,140.49,,
2020-10-13,20:44,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 04:45 (EDT),,,,,,,66,143.8,,
2020-10-14,18:36,EDT),20,Cycling,Music,20 min Hip Hop Ride,2020-10-14 05:52 (EDT),160,134,45%,77,28.95,9.64,315,160.2,,
2020-10-14,18:58,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-06-24 15:00 (EDT),17,57,28%,92,20.5,1.71,64,142.07,,
2020-10-14,19:04,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-21 17:00 (EDT),,,,,,,63,140.36,,
2020-10-17,13:06,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-10-05 08:30 (EDT),23,78,31%,93,23.27,1.93,32,,,
2020-10-17,13:14,EDT),30,Cycling,Music,30 min Hip Hop Ride,2020-10-16 11:20 (EDT),206,115,41%,80,26.91,13.45,464,158.25,,
2020-10-17,13:46,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-09-11 09:00 (EDT),20,66,32%,81,21.52,1.79,68,146.54,,
2020-10-17,13:52,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-30 10:00 (EDT),,,,,,,67,145.7,,
2020-10-19,18:32,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-09-08 01:00 (EDT),27,92,35%,85,25.17,2.08,52,126.23,,
2020-10-19,18:39,EDT),30,Cycling,Music,30 min Hip Hop Ride,2020-10-18 07:55 (EDT),200,111,43%,74,26.7,13.36,484,162.49,,
2020-10-19,19:11,EDT),10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2020-09-04 08:36 (EDT),46,77,40%,69,23.03,3.85,143,150.43,,
2020-10-19,19:25,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-14 09:00 (EDT),,,,,,,60,136.16,,
2020-10-23,19:23,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-07-02 04:00 (EDT),27,90,36%,82,24.27,2.01,49,121.15,,
2020-10-23,19:29,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-10-22 17:00 (EDT),199,110,41%,77,26.84,13.42,467,158.79,,
2020-10-23,20:00,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-09-17 09:00 (EDT),26,87,39%,73,24.28,2.01,79,160.14,,
2020-10-23,20:06,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-19 08:30 (EDT),,,,,,,68,145.9,,
2020-10-25,19:52,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-07-19 04:00 (EDT),25,86,33%,85,23.87,1.98,41,103.51,,
2020-10-25,19:58,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-10-20 17:00 (EDT),219,122,46%,69,27.76,13.89,450,155.27,,
2020-10-25,20:30,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-25 14:00 (EDT),,,,,,,66,143.29,,
2020-10-29,18:35,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-10-26 08:30 (EDT),44,148,46%,76,29.5,2.45,60,134.52,,
2020-10-29,18:41,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-10-12 05:50 (EDT),174,96,40%,72,25.48,12.75,424,149.62,,
2020-10-29,19:13,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-28 09:00 (EDT),,,,,,,58,133.73,,
2020-11-01,13:59,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-10-29 08:30 (EDT),37,123,38%,88,27.86,2.35,55,128.74,,
2020-11-01,14:07,EDT),30,Cycling,Theme,30 min Halloween Ride,2020-10-31 09:30 (EDT),216,120,46%,70,27.87,13.94,489,163.59,,
2020-11-01,14:38,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-09-28 08:30 (EDT),26,85,40%,72,24.4,2.04,75,154,,
2020-11-01,14:45,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-11-15 11:35 (EDT),,,,,,,69,147.91,,
2020-11-02,15:02,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-10-29 12:00 (EDT),35,117,36%,87,26.92,2.22,51,100.96,,
2020-11-02,15:10,EDT),20,Cycling,Music,20 min 90s Hip Hop Ride,2020-11-02 07:53 (EDT),153,128,39%,85,28.15,9.38,310,158.28,,
2020-11-02,15:31,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-10-08 09:00 (EDT),27,89,38%,77,24.54,2.06,66,143.49,,
2020-11-02,15:39,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-26 08:30 (EDT),,,,,,,,,,
2020-11-04,19:10,EDT),20,Cycling,Low Impact,20 min Low Impact Ride,2020-11-04 07:54 (EDT),141,119,43%,75,27.62,9.14,268,145.65,,
2020-11-04,19:32,EDT),10,Cycling,Climb,10 min Climb Ride,2020-11-02 20:06 (EDT),94,157,53%,67,31.21,5.2,165,164.88,,
2020-11-04,19:44,EDT),0,Cycling,,12 sec Just Ride,,0,34,33%,55,16.03,0.05,2,139.19,,
2020-11-04,19:45,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-08-02 04:45 (EDT),,,,,,,59,135.72,,
2020-11-08,14:03,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-11-08 10:45 (EDT),30,101,36%,86,25.8,2.14,50,124.29,,
2020-11-08,14:10,EDT),30,Cycling,Intervals,30 min Intervals Ride,2020-11-07 06:20 (EDT),221,123,44%,75,27.95,13.99,472,159.82,,
2020-11-08,14:43,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-11-05 09:00 (EDT),,,,,,,63,139.09,,
2020-11-11,16:29,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-07-13 09:00 (EDT),22,73,29%,88,21.68,1.8,41,111.43,,
2020-11-11,16:35,EDT),30,Cycling,Music,30 min Hip Hop Ride,2020-11-07 09:26 (EDT),214,126,42%,80,28.49,13.12,423,165.71,,
2021-02-08,17:42,EDT),30,Cycling,Music,30 min EDM Ride,2021-02-08 13:24 (EDT),176,98,39%,76,25.43,12.71,432,144.7,,
2021-02-08,18:15,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-02-06 08:21 (EDT),18,59,33%,74,20.25,1.69,68,146.48,,
2021-02-08,18:21,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-02-06 08:34 (EDT),,,,,,,70,150,,
2021-02-09,20:16,EDT),20,Cycling,Music,20 min New Tracks Ride,2021-02-09 17:00 (EDT),118,98,38%,80,25.59,8.53,309,156.83,,
2021-02-09,20:37,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-02-05 09:00 (EDT),22,74,38%,67,22.61,1.87,70,149.04,,
2021-02-11,20:46,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2021-02-04 17:00 (EDT),164,91,38%,76,24.77,12.39,469,154.84,,
2021-02-13,20:58,EDT),20,Cycling,Music,20 min 2010s Hip Hop Ride,2021-02-11 17:00 (EDT),131,109,40%,77,26.59,8.87,294,142.01,,
2021-02-13,21:20,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-02-01 09:00 (EDT),,,,,,,68,145.88,,
2021-02-14,16:04,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-01-30 08:15 (EDT),20,66,30%,85,21.32,1.77,37,103.76,,
2021-02-14,16:10,EDT),30,Cycling,Music,30 min Hip Hop Ride,2021-01-21 01:55 (EDT),191,106,41%,74,26.39,13.21,504,166.7,,
2021-02-14,16:42,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-12-20 11:35 (EDT),18,59,34%,71,20.62,1.72,70,149.66,,
2021-02-14,16:49,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-02-12 01:00 (EDT),,,,,,,37,147.72,,
2021-02-16,20:17,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-02-16 09:00 (EDT),28,95,37%,78,25.2,2.09,42,79.17,,
2021-02-16,20:24,EDT),30,Cycling,Music,30 min Pop Ride,2021-02-14 11:50 (EDT),173,96,36%,82,25.12,12.57,444,153.77,,
2021-02-16,20:56,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-02-05 09:00 (EDT),,,,,,,56,131.81,,
2021-02-17,18:02,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-01-16 02:00 (EDT),23,78,30%,89,22.9,1.9,53,127.82,,
2021-02-17,18:08,EDT),10,Cycling,Climb,10 min Climb Ride,2021-02-11 02:32 (EDT),66,110,43%,71,26.81,4.47,140,148.42,,
2021-02-17,18:21,EDT),15,Cycling,Intervals,15 min HIIT Ride,2020-12-17 02:51 (EDT),105,116,41%,76,26.97,6.74,227,156.05,,
2021-02-19,20:32,EDT),30,Cycling,Live DJ,30 min Live DJ Ride,2021-02-19 17:24 (EDT),213,118,44%,73,27.71,13.87,428,146.9,,
2021-02-20,16:56,EDT),30,Cycling,Music,30 min Hip Hop Ride,2021-02-20 09:23 (EDT),205,114,41%,78,27.09,13.57,452,151.83,,
2021-02-21,17:52,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-01-06 01:00 (EDT),31,104,35%,90,26.12,2.16,52,126.71,,
2021-02-21,17:58,EDT),20,Cycling,Low Impact,20 min Low Impact Ride,2021-02-21 11:45 (EDT),129,107,40%,79,26.46,8.82,285,150.47,,
2021-02-21,18:19,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 08:30 (EDT),,,,,,,57,132.21,,
2021-02-23,20:06,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-12-02 09:00 (EDT),22,74,30%,87,22.39,1.85,36,87.08,,
2021-02-23,20:12,EDT),20,Cycling,Music,20 min EDM Ride,2021-02-21 12:27 (EDT),142,118,40%,79,26.96,8.98,288,151.43,,
2021-02-24,20:11,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-02-24 09:00 (EDT),24,80,32%,88,23.53,1.95,33,,,
2021-02-24,20:17,EDT),45,Cycling,Music,45 min Hip Hop Ride,2021-02-20 13:23 (EDT),288,106,41%,76,26.41,19.81,641,154.54,,
2021-02-26,19:54,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-12-11 01:00 (EDT),26,86,37%,68,21.95,1.82,44,106.24,,
2021-02-26,20:00,EDT),30,Cycling,Music,30 min EDM Ride,2021-02-25 11:22 (EDT),206,114,41%,79,27.18,13.6,440,152.24,,
2021-02-27,20:28,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-12-22 08:30 (EDT),22,74,31%,88,22.68,1.88,26,69.11,,
2021-02-27,20:33,EDT),20,Cycling,Intervals,20 min HIIT Ride,2021-02-26 16:54 (EDT),144,120,42%,74,26.63,8.88,269,145.29,,
2021-02-27,20:54,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-02-24 09:00 (EDT),27,89,41%,67,24.14,2.01,60,136.34,,
2021-02-27,21:00,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-02-26 09:00 (EDT),,,,,,,53,126.7,,
2021-02-28,13:10,EDT),20,Cycling,Low Impact,20 min Low Impact Ride,2021-02-25 17:00 (EDT),150,125,42%,79,28.39,9.48,269,141.61,,
2021-03-02,17:05,EDT),20,Cycling,Music,20 min Hip Hop Ride,2021-03-02 17:00 (EDT),162,135,42%,83,29.03,9.69,273,137.45,,
2021-03-02,17:28,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-02-26 01:25 (EDT),22,72,35%,76,22.14,1.82,58,133.74,,
2021-03-03,18:08,EDT),45,Cycling,Theme,45 min Sweat Steady Ride,2021-02-27 09:25 (EDT),314,116,43%,73,27.28,20.47,660,152.99,,
